team,city,coordinates
ARI,"Glendale, AZ","(33.5386858, -112.1859941)"
ATL,"Atlanta, GA","(33.7489924, -84.3902644)"
BAL,"Baltimore, MD","(39.2908816, -76.610759)"
BUF,"Buffalo, NY","(42.8867166, -78.8783922)"
CAR,"Charlotte, NC","(35.2272086, -80.8430827)"
CHI,"Chicago, IL","(41.8755616, -87.6244212)"
CIN,"Cincinnati, OH","(39.1014537, -84.5124602)"
CLE,"Cleveland, OH","(41.4996562, -81.6936813)"
DAL,"Dallas, TX","(32.7762719, -96.7968559)"
DEN,"Denver, CO","(39.7392364, -104.9848623)"
DET,"Detroit, MI","(42.3315509, -83.0466403)"
GB,"Green Bay, WI","(44.5126379, -88.0125794)"
HOU,"Houston, TX","(29.7589382, -95.3676974)"
IND,"Indianapolis, IN","(39.7683331, -86.1583502)"
JAX,"Jacksonville, FL","(30.3321838, -81.655651)"
KC,"Kansas City, MO","(39.100105, -94.5781416)"
LAC,"Inglewood, CA","(33.9562003, -118.353132)"
LAR,"Inglewood, CA","(33.9562003, -118.353132)"
LV,"Las Vegas, NV","(36.1672559, -115.148516)"
MIA,"Miami Gardens, FL","(25.9420377, -80.2456045)"
MIN,"Minneapolis, MN","(44.9772995, -93.2654692)"
NE,"Foxborough, MA","(42.0653768, -71.2478308)"
NO,"New Orleans, LA","(29.9759983, -90.0782127)"
NYG,"East Rutherford, NJ","(40.82046, -74.08307621723368)"
NYJ,"East Rutherford, NJ","(40.82046, -74.08307621723368)"
PHI,"Philadelphia, PA","(39.9527237, -75.1635262)"
PIT,"Pittsburgh, PA","(40.4416941, -79.9900861)"
SEA,"Seattle, WA","(47.6038321, -122.3300624)"
SF,"Santa Clara, CA","(37.2333253, -121.6846349)"
TB,"Tampa, FL","(27.9477595, -82.458444)"
TEN,"Nashville, TN","(36.1622767, -86.7742984)"
WAS,"Landover, MD","(38.92531295, -76.88154330442846)"
SD,"San Diego, CA","(32.7174202, -117.1627728)"
OAK,"Oakland, CA","(37.8044557, -122.2713563)"
STL,"St. Louis, MO","(38.6264256, -90.1995853)"
